sdg_num,sdg_label,rank,affiliation,exact_count
1,No Poverty,1,Universitas Gadjah Mada,138
1,No Poverty,2,Universitas Indonesia,122
1,No Poverty,3,IPB University,116
1,No Poverty,4,Hasanuddin University,86
1,No Poverty,5,Universitas Padjadjaran,69
1,No Poverty,6,Universitas Airlangga,68
1,No Poverty,7,Brawijaya University,48
1,No Poverty,8,Universitas Sebelas Maret,41
1,No Poverty,9,Institut Teknologi Bandung,35
1,No Poverty,10,Universitas Diponegoro,34
1,No Poverty,11,"Fakultas Ekonomi dan Bisnis, Universitas Indonesia",27
1,No Poverty,12,Universitas Negeri Malang,23
1,No Poverty,13,Universitas Udayana,22
1,No Poverty,14,Universitas Sumatera Utara,20
1,No Poverty,15,Universitas Syiah Kuala,20
1,No Poverty,16,University of Mataram,19
1,No Poverty,17,Universitas Andalas,18
1,No Poverty,18,"Universitas Islam Negeri Sunan Kalijaga, Yogyakarta",18
1,No Poverty,19,Institut Teknologi Sepuluh Nopember,16
1,No Poverty,20,Universitas Jambi,15
1,No Poverty,21,Universitas Riau,14
1,No Poverty,22,Universitas Muhammadiyah Yogyakarta,14
1,No Poverty,23,Bina Nusantara University,13
1,No Poverty,24,Universitas Pendidikan Indonesia,12
1,No Poverty,25,"Universitas Indonesia, RSUPN Dr. Cipto Mangunkusumo",12
2,Zero Hunger,1,Universitas Padjadjaran,152
2,Zero Hunger,2,Universitas Indonesia,144
2,Zero Hunger,3,Universitas Gadjah Mada,136
2,Zero Hunger,4,IPB University,109
2,Zero Hunger,5,Universitas Airlangga,106
2,Zero Hunger,6,Brawijaya University,77
2,Zero Hunger,7,Hasanuddin University,63
2,Zero Hunger,8,"Universitas Indonesia, RSUPN Dr. Cipto Mangunkusumo",59
2,Zero Hunger,9,Universitas Diponegoro,54
2,Zero Hunger,10,Universitas Sebelas Maret,42
2,Zero Hunger,11,Institut Teknologi Bandung,42
2,Zero Hunger,12,Universitas Sumatera Utara,28
2,Zero Hunger,13,Institut Teknologi Sepuluh Nopember,26
2,Zero Hunger,14,Bina Nusantara University,24
2,Zero Hunger,15,Universitas Andalas,23
2,Zero Hunger,16,Universitas Syiah Kuala,19
2,Zero Hunger,17,Universitas Udayana,16
2,Zero Hunger,18,Universitas Sam Ratulangi,15
2,Zero Hunger,19,Universitas Negeri Malang,12
2,Zero Hunger,20,"Fakultas Ekonomi dan Bisnis, Universitas Indonesia",11
2,Zero Hunger,21,Universitas Muhammadiyah Yogyakarta,11
2,Zero Hunger,22,Universitas Sriwijaya,10
2,Zero Hunger,23,Universitas Muhammadiyah Surakarta,10
2,Zero Hunger,24,Universitas Tanjungpura,9
2,Zero Hunger,25,Universitas Jenderal Soedirman,9
3,Good Health & Well-being,1,Universitas Indonesia,971
3,Good Health & Well-being,2,Universitas Airlangga,899
3,Good Health & Well-being,3,Universitas Gadjah Mada,797
3,Good Health & Well-being,4,Universitas Padjadjaran,779
3,Good Health & Well-being,5,"Universitas Indonesia, RSUPN Dr. Cipto Mangunkusumo",440
3,Good Health & Well-being,6,Hasanuddin University,246
3,Good Health & Well-being,7,Brawijaya University,205
3,Good Health & Well-being,8,Universitas Udayana,204
3,Good Health & Well-being,9,Universitas Syiah Kuala,167
3,Good Health & Well-being,10,Universitas Diponegoro,164
3,Good Health & Well-being,11,IPB University,158
3,Good Health & Well-being,12,Universitas Sebelas Maret,154
3,Good Health & Well-being,13,Universitas Pelita Harapan,131
3,Good Health & Well-being,14,Universitas Sumatera Utara,129
3,Good Health & Well-being,15,Institut Teknologi Bandung,121
3,Good Health & Well-being,16,Universitas Katolik Indonesia Atma Jaya,119
3,Good Health & Well-being,17,Universitas Negeri Malang,88
3,Good Health & Well-being,18,Eijkman Institute for Molecular Biology,88
3,Good Health & Well-being,19,Universitas Andalas,74
3,Good Health & Well-being,20,Universitas Sriwijaya,66
3,Good Health & Well-being,21,Universitas Sam Ratulangi,64
3,Good Health & Well-being,22,Universitas Ahmad Dahlan,58
3,Good Health & Well-being,23,Institut Teknologi Sepuluh Nopember,56
3,Good Health & Well-being,24,Universitas Jenderal Soedirman,54
3,Good Health & Well-being,25,Bina Nusantara University,53
4,Quality Education,1,Universitas Negeri Malang,225
4,Quality Education,2,Universitas Pendidikan Indonesia,192
4,Quality Education,3,Universitas Negeri Yogyakarta,191
4,Quality Education,4,Universitas Indonesia,173
4,Quality Education,5,Universitas Airlangga,158
4,Quality Education,6,Universitas Gadjah Mada,154
4,Quality Education,7,Universitas Sebelas Maret,126
4,Quality Education,8,Universitas Negeri Makassar,120
4,Quality Education,9,Universitas Padjadjaran,104
4,Quality Education,10,Universitas Negeri Surabaya,100
4,Quality Education,11,Universitas Negeri Semarang,96
4,Quality Education,12,Universitas Negeri Jakarta,92
4,Quality Education,13,Brawijaya University,91
4,Quality Education,14,Universitas Negeri Padang,89
4,Quality Education,15,Bina Nusantara University,72
4,Quality Education,16,Universitas Syiah Kuala,71
4,Quality Education,17,Universitas Islam Negeri Ar-Raniry,67
4,Quality Education,18,"Universitas Islam Negeri Sunan Kalijaga, Yogyakarta",66
4,Quality Education,19,Hasanuddin University,59
4,Quality Education,20,Institut Teknologi Bandung,53
4,Quality Education,21,Universitas Jambi,51
4,Quality Education,22,Universitas Islam Negeri Syarif Hidayatullah Jakarta,49
4,Quality Education,23,UIN Sunan Ampel Surabaya,48
4,Quality Education,24,Universitas Islam Negeri Maulana Malik Ibrahim Malang,46
4,Quality Education,25,Universitas Ahmad Dahlan,45
5,Gender Equality,1,Universitas Gadjah Mada,28
5,Gender Equality,2,Universitas Indonesia,28
5,Gender Equality,3,Universitas Airlangga,27
5,Gender Equality,4,"Universitas Islam Negeri Sunan Kalijaga, Yogyakarta",24
5,Gender Equality,5,Universitas Islam Negeri Syarif Hidayatullah Jakarta,20
5,Gender Equality,6,Universitas Islam Negeri Maulana Malik Ibrahim Malang,15
5,Gender Equality,7,Universitas Padjadjaran,14
5,Gender Equality,8,UIN Sunan Gunung Djati,14
5,Gender Equality,9,Universitas Sumatera Utara,12
5,Gender Equality,10,Universitas Islam Negeri Ar-Raniry,12
5,Gender Equality,11,Universitas Pendidikan Indonesia,11
5,Gender Equality,12,Universitas Negeri Yogyakarta,11
5,Gender Equality,13,Universitas Sebelas Maret,10
5,Gender Equality,14,UIN Sunan Ampel Surabaya,10
5,Gender Equality,15,Hasanuddin University,9
5,Gender Equality,16,Bina Nusantara University,8
5,Gender Equality,17,Brawijaya University,8
