sdg_num,sdg_label,rank,journal,papers_in_sdg,sjr_quartile,citescore,citescore_year,citescore_tracker,citescore_tracker_year,sjr,snip,scimago_categories
1,No Poverty,1,International Journal of Environmental Research and Public Health,24,Q1,9.8,2025,7.5,2026,0.927,1.413,"Public Health, Environmental and Occupational Health (Q1); Health, Toxicology and Mutagenesis (Q2); Pollution (Q2)"
1,No Poverty,2,Plos One,19,Q1,4.8,2025,3.9,2026,0.726,1.081,Multidisciplinary (Q1)
1,No Poverty,3,Land Use Policy,14,Q1,14.0,2025,10.3,2026,1.686,1.956,"Forestry (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
1,No Poverty,4,Small Scale Forestry,11,Q1,4.2,2025,3.8,2026,0.516,0.947,Forestry (Q1)
1,No Poverty,5,Agricultural Systems,8,Q1,11.2,2025,8.6,2026,1.606,1.8,Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1)
1,No Poverty,6,Human Ecology,6,Q1,3.1,2025,2.8,2026,0.515,0.778,"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Ecology (Q2); Environmental Science (miscellaneous) (Q2); Health (social science) (Q2); Public Health, Environmental and Occupational Health (Q2); Sociology and Political Science (Q2); Health, Toxicology and Mutagenesis (Q3)"
1,No Poverty,7,Management of Environmental Quality an International Journal,4,Q1,,,,,,,
1,No Poverty,8,Plos Neglected Tropical Diseases,3,Q1,6.3,2025,4.7,2026,1.290,1.507,"Infectious Diseases (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
1,No Poverty,9,Asia Pacific Journal of Tourism Research,3,Q1,6.1,2025,5.9,2026,0.912,1.097,"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q2)"
1,No Poverty,10,Journal of Nutrition,3,Q1,6.4,2025,5.3,2026,1.208,1.143,Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)
2,Zero Hunger,1,Plos One,36,Q1,4.8,2025,3.9,2026,0.726,1.081,Multidisciplinary (Q1)
2,Zero Hunger,2,International Journal of Environmental Research and Public Health,22,Q1,9.8,2025,7.5,2026,0.927,1.413,"Public Health, Environmental and Occupational Health (Q1); Health, Toxicology and Mutagenesis (Q2); Pollution (Q2)"
2,Zero Hunger,3,BMC Pediatrics,8,Q1,3.5,2025,2.8,2026,0.732,1.111,"Pediatrics, Perinatology and Child Health (Q1)"
2,Zero Hunger,4,Agricultural Systems,6,Q1,11.2,2025,8.6,2026,1.606,1.8,Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1)
2,Zero Hunger,5,Agriculture and Human Values,6,Q1,7.3,2025,6.1,2026,1.216,1.661,"Agronomy and Crop Science (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
2,Zero Hunger,6,European Journal of Clinical Nutrition,4,Q1,7.5,2025,5.4,2026,1.045,1.098,Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)
2,Zero Hunger,7,Agriculture Ecosystems and Environment,4,Q1,13.0,2025,10.2,2026,2.094,1.937,Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Ecology (Q1)
2,Zero Hunger,8,Human Ecology,3,Q1,3.1,2025,2.8,2026,0.515,0.778,"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Ecology (Q2); Environmental Science (miscellaneous) (Q2); Health (social science) (Q2); Public Health, Environmental and Occupational Health (Q2); Sociology and Political Science (Q2); Health, Toxicology and Mutagenesis (Q3)"
2,Zero Hunger,9,BMC Pregnancy and Childbirth,3,Q1,4.8,2025,3.7,2026,1.066,1.435,Obstetrics and Gynecology (Q1)
2,Zero Hunger,10,Philosophical Transactions of the Royal Society of London Series B Biological Sciences,3,Q1,,,,,,,
3,Good Health & Well-being,1,Plos One,33,Q1,4.8,2025,3.9,2026,0.726,1.081,Multidisciplinary (Q1)
3,Good Health & Well-being,2,Asian Journal of Psychiatry,28,Q1,6.5,2025,6.4,2026,1.265,1.264,Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1)
3,Good Health & Well-being,3,International Journal of Environmental Research and Public Health,28,Q1,9.8,2025,7.5,2026,0.927,1.413,"Public Health, Environmental and Occupational Health (Q1); Health, Toxicology and Mutagenesis (Q2); Pollution (Q2)"
3,Good Health & Well-being,4,BMC Psychiatry,17,Q1,6.3,2025,5.6,2026,1.423,1.471,Psychiatry and Mental Health (Q1)
3,Good Health & Well-being,5,BMC Pediatrics,11,Q1,3.5,2025,2.8,2026,0.732,1.111,"Pediatrics, Perinatology and Child Health (Q1)"
3,Good Health & Well-being,6,BMC Pregnancy and Childbirth,9,Q1,4.8,2025,3.7,2026,1.066,1.435,Obstetrics and Gynecology (Q1)
3,Good Health & Well-being,7,Journal of Adolescent Health,9,Q1,7.0,2025,5.2,2026,1.527,1.459,"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
3,Good Health & Well-being,8,Current Psychology,8,Q1,6.2,2025,5.6,2026,0.960,1.17,Psychology (miscellaneous) (Q1)
